dataset,algorithm,run_id,score,global_accuracy,personalized_accuracy,mean_client_accuracy,p10_client_accuracy,coefficient_mean,coefficient_variance,mean_abs_coefficient_delta,clipping_frequency,unstable,run_dir
Shakespeare,Ditto,ditto_jr0.1_lam0.1,0.48320759141001063,0.49891728618126147,0.48320759141001063,0.47124465793942394,0.38010033444816055,0.1,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/shakespeare_sweep/Shakespeare/Ditto/ditto_jr0.1_lam0.1
Shakespeare,Ditto,ditto_jr0.1_lam0.5,0.482738645297436,0.49891728618126147,0.482738645297436,0.47380317027069363,0.39571428571428574,0.5,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/shakespeare_sweep/Shakespeare/Ditto/ditto_jr0.1_lam0.5
Shakespeare,Ditto,ditto_jr0.1_lam1.0,0.48272485276471316,0.49891728618126147,0.48272485276471316,0.4730682500261665,0.39571428571428574,1.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/shakespeare_sweep/Shakespeare/Ditto/ditto_jr0.1_lam1.0
Shakespeare,Ditto,ditto_jr0.1_lam0,0.34424782422796296,0.49891728618126147,0.34424782422796296,0.2768632961345703,0.1761810466760962,0.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/shakespeare_sweep/Shakespeare/Ditto/ditto_jr0.1_lam0
