dataset,algorithm,run_id,score,global_accuracy,personalized_accuracy,mean_client_accuracy,p10_client_accuracy,coefficient_mean,coefficient_variance,mean_abs_coefficient_delta,clipping_frequency,unstable,run_dir
Shakespeare,AdaProxDitto,adaditto_jr0.1_seed2,0.4848489028040219,0.5001861991917576,0.4848489028040219,0.46169621335097527,0.33536363636363636,0.07197669618329561,0.00016719587759103923,0.005646512144916382,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/shakespeare_core/Shakespeare/AdaProxDitto/adaditto_jr0.1_seed2
Shakespeare,AdaProxDitto,adaditto_jr0.1_seed0,0.48329034660634734,0.4993172696302222,0.48329034660634734,0.4640804361487592,0.35400000000000004,0.07079390965150825,6.5407112190747e-05,0.005158607343330538,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/shakespeare_core/Shakespeare/AdaProxDitto/adaditto_jr0.1_seed0
Shakespeare,AdaProxDitto,adaditto_jr0.1_seed1,0.47796642897535274,0.5006965229025006,0.47796642897535274,0.46353296630108226,0.3333333333333333,0.0733426842788104,0.0003144545059765463,0.0060883769603092865,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/shakespeare_core/Shakespeare/AdaProxDitto/adaditto_jr0.1_seed1
Shakespeare,Ditto,ditto_jr0.1_seed2,0.4849178654676358,0.49916555177027155,0.4849178654676358,0.468505829655198,0.36261720342437836,0.1,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/shakespeare_core/Shakespeare/Ditto/ditto_jr0.1_seed2
Shakespeare,Ditto,ditto_jr0.1_seed0,0.48320759141001063,0.49891728618126147,0.48320759141001063,0.47124465793942394,0.38010033444816055,0.1,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/shakespeare_core/Shakespeare/Ditto/ditto_jr0.1_seed0
Shakespeare,Ditto,ditto_jr0.1_seed1,0.4783388273588679,0.5010137511551246,0.4783388273588679,0.4732536919115353,0.3616883116883117,0.1,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/shakespeare_core/Shakespeare/Ditto/ditto_jr0.1_seed1
