dataset,algorithm,run_id,score,global_accuracy,personalized_accuracy,mean_client_accuracy,p10_client_accuracy,coefficient_mean,coefficient_variance,mean_abs_coefficient_delta,clipping_frequency,unstable,run_dir
Cifar100_pathological,Ditto,lam_0,0.6204598467177608,0.5844718427190936,0.6204598467177608,0.6044179897300215,0.5347854462391908,0.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase1_static_sweeps/Cifar100_pathological/Ditto/lam_0
Cifar100_pathological,Ditto,lam_0.001,0.6203932022659113,0.5844718427190936,0.6203932022659113,0.6048006965003767,0.5369926215985932,0.001,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase1_static_sweeps/Cifar100_pathological/Ditto/lam_0.001
Cifar100_pathological,Ditto,lam_0.005,0.6187937354215262,0.5844718427190936,0.6187937354215262,0.603122326192389,0.5431636482297275,0.005,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase1_static_sweeps/Cifar100_pathological/Ditto/lam_0.005
Cifar100_pathological,Ditto,lam_0.01,0.6163945351549484,0.5844718427190936,0.6163945351549484,0.6034461329333907,0.5454560287159406,0.01,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase1_static_sweeps/Cifar100_pathological/Ditto/lam_0.01
Cifar100_pathological,Ditto,lam_0.03,0.6062645784738421,0.5844718427190936,0.6062645784738421,0.5944515775504877,0.5368575624082232,0.03,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase1_static_sweeps/Cifar100_pathological/Ditto/lam_0.03
Cifar100_pathological,Ditto,lam_0.2,0.5989336887704099,0.5844718427190936,0.5989336887704099,0.5963797732824545,0.5400960384153662,0.2,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase1_static_sweeps/Cifar100_pathological/Ditto/lam_0.2
Cifar100_pathological,Ditto,lam_0.5,0.5986671109630123,0.5844718427190936,0.5986671109630123,0.5996290937884269,0.5526379440665155,0.5,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase1_static_sweeps/Cifar100_pathological/Ditto/lam_0.5
Cifar100_pathological,Ditto,lam_1.0,0.5948017327557481,0.5844718427190936,0.5948017327557481,0.5975128223878236,0.5485067690442514,1.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase1_static_sweeps/Cifar100_pathological/Ditto/lam_1.0
Cifar100_pathological,Ditto,lam_0.08,0.5946017994002,0.5844718427190936,0.5946017994002,0.5872570725258022,0.5333555491161982,0.08,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase1_static_sweeps/Cifar100_pathological/Ditto/lam_0.08
Cifar100_pathological,Ditto,lam_0.05,0.5932022659113628,0.5844718427190936,0.5932022659113628,0.5851708369896291,0.5274515973790398,0.05,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase1_static_sweeps/Cifar100_pathological/Ditto/lam_0.05
Cifar100_pathological,Ditto,lam_0.1,0.5924691769410196,0.5844718427190936,0.5924691769410196,0.5861323254180741,0.5302900930487138,0.1,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase1_static_sweeps/Cifar100_pathological/Ditto/lam_0.1
Cifar100_pathological,Ditto,lam_3.0,0.5920693102299234,0.5844718427190936,0.5920693102299234,0.5957430825030922,0.5351700680272109,3.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase1_static_sweeps/Cifar100_pathological/Ditto/lam_3.0
Cifar100_pathological,Ditto,lam_2.0,0.5915361546151283,0.5844718427190936,0.5915361546151283,0.5942075919868132,0.5370219198790627,2.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase1_static_sweeps/Cifar100_pathological/Ditto/lam_2.0
Cifar100_pathological,FedProx,mu_0.001,0.5948017327557481,0.5948017327557481,0.0,0.5979521264102203,0.5335525934511736,0.001,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase1_static_sweeps/Cifar100_pathological/FedProx/mu_0.001
Cifar100_pathological,FedProx,mu_0,0.5944685104965012,0.5944685104965012,0.0,0.5975837982046425,0.5371370617212402,0.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase1_static_sweeps/Cifar100_pathological/FedProx/mu_0
Cifar100_pathological,FedProx,mu_0.03,0.5943352215928024,0.5943352215928024,0.0,0.597370960374784,0.5410170964937699,0.03,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase1_static_sweeps/Cifar100_pathological/FedProx/mu_0.03
Cifar100_pathological,FedProx,mu_0.005,0.5940686437854049,0.5940686437854049,0.0,0.5967607342915515,0.5370385395537525,0.005,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase1_static_sweeps/Cifar100_pathological/FedProx/mu_0.005
Cifar100_pathological,FedProx,mu_0.01,0.5936687770743085,0.5936687770743085,0.0,0.5966181155542238,0.5333555491161982,0.01,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase1_static_sweeps/Cifar100_pathological/FedProx/mu_0.01
Cifar100_pathological,FedProx,mu_0.08,0.5930689770076641,0.5930689770076641,0.0,0.5964965207213542,0.5407215299913068,0.08,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase1_static_sweeps/Cifar100_pathological/FedProx/mu_0.08
Cifar100_pathological,FedProx,mu_0.05,0.5926024658447184,0.5926024658447184,0.0,0.5956807999362131,0.5365459287163141,0.05,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase1_static_sweeps/Cifar100_pathological/FedProx/mu_0.05
