round,test_acc_global,train_loss_global,test_acc_personalized,train_loss_personalized,mu,time_cost
0,0.010594349680170576,4.606180687528539,0.010594349680170576,4.606180687528539,0.0,0.0
1,0.17410714285714285,3.0023395923018374,0.17410714285714285,3.0023395923018374,0.0,20.07380962371826
2,0.22134861407249468,2.7372833865340556,0.22134861407249468,2.7372833865340556,0.0,20.15635657310486
3,0.27525319829424305,2.5691144116128255,0.27525319829424305,2.5691144116128255,0.0,20.228153467178345
4,0.29890724946695096,2.4402792725034055,0.29890724946695096,2.4402792725034055,0.0,20.263190746307373
5,0.32276119402985076,2.3520222831393807,0.32276119402985076,2.3520222831393807,0.0,20.546565294265747
6,0.3267590618336887,2.282241073595333,0.3267590618336887,2.282241073595333,0.0,20.48339009284973
7,0.3429504264392324,2.2213588812404867,0.3429504264392324,2.2213588812404867,0.0,20.362197160720825
8,0.35920842217484006,2.1511054836739727,0.35920842217484006,2.1511054836739727,0.0,20.475295305252075
9,0.37193496801705755,2.0906733920829654,0.37193496801705755,2.0906733920829654,0.0,20.319976568222046
10,0.3757995735607676,2.0485477042532785,0.3757995735607676,2.0485477042532785,0.0,23.68964672088623
11,0.3853278251599147,1.9896215790362792,0.3853278251599147,1.9896215790362792,0.0,25.021281719207764
12,0.3908582089552239,1.934656868840836,0.3908582089552239,1.934656868840836,0.0,25.139721393585205
13,0.394589552238806,1.883801544753606,0.394589552238806,1.883801544753606,0.0,25.092620372772217
14,0.4031183368869936,1.8254390847951167,0.4031183368869936,1.8254390847951167,0.0,25.12098526954651
15,0.41537846481876334,1.7732601280227274,0.41537846481876334,1.7732601280227274,0.0,25.59006381034851
16,0.4213086353944563,1.7158882480324655,0.4213086353944563,1.7158882480324655,0.0,25.576650619506836
17,0.4267057569296375,1.6640055677651244,0.4267057569296375,1.6640055677651244,0.0,25.572391748428345
18,0.4343683368869936,1.613574666458027,0.4343683368869936,1.613574666458027,0.0,25.16208553314209
19,0.43623400852878463,1.555782091567128,0.43623400852878463,1.555782091567128,0.0,25.455347537994385
20,0.4440964818763326,1.4932802884303586,0.4440964818763326,1.4932802884303586,0.0,25.462175846099854
21,0.45035980810234544,1.431442562868293,0.45035980810234544,1.431442562868293,0.0,24.910949230194092
22,0.4512926439232409,1.3771859995703783,0.4512926439232409,1.3771859995703783,0.0,25.463985204696655
23,0.44429637526652455,1.3445574754654472,0.44429637526652455,1.3445574754654472,0.0,25.27141237258911
24,0.449160447761194,1.282847398352214,0.449160447761194,1.282847398352214,0.0,25.057520151138306
25,0.45642324093816633,1.2151708794970586,0.45642324093816633,1.2151708794970586,0.0,24.7801353931427
26,0.4517590618336887,1.15540697559711,0.4517590618336887,1.15540697559711,0.0,24.63636541366577
27,0.46222014925373134,1.0929759017314855,0.46222014925373134,1.0929759017314855,0.0,25.285939693450928
28,0.4560900852878465,1.0579047924221743,0.4560900852878465,1.0579047924221743,0.0,25.137452125549316
29,0.4613539445628998,0.9640594676724519,0.4613539445628998,0.9640594676724519,0.0,25.248305320739746
30,0.46142057569296374,0.8978222610624363,0.46142057569296374,0.8978222610624363,0.0,25.505303382873535
31,0.4587553304904051,0.8466690184262606,0.4587553304904051,0.8466690184262606,0.0,25.14673352241516
32,0.4658182302771855,0.7742998006814411,0.4658182302771855,0.7742998006814411,0.0,25.248960256576538
33,0.4552905117270789,0.728431973503444,0.4552905117270789,0.728431973503444,0.0,25.368804931640625
34,0.46548507462686567,0.6576024724353552,0.46548507462686567,0.6576024724353552,0.0,25.352915048599243
35,0.459021855010661,0.5899035202994475,0.459021855010661,0.5899035202994475,0.0,25.822402238845825
36,0.4660847547974414,0.5377076208092709,0.4660847547974414,0.5377076208092709,0.0,25.460931062698364
37,0.46648454157782515,0.47269571360095247,0.46648454157782515,0.47269571360095247,0.0,25.298524618148804
