Method,Peak Global Acc,Final Global Acc,Final Loss,Mu (avg±std),Total Time (s),Peak Pers. Acc,Final Pers. Acc,Mu
adaprox,0.9781,0.9781,0.0556,0.1733±0.0538,3848.45,,,
adaprox_ditto,0.9923,0.9921,0.5050,0.1754±0.0552,5445.09,0.9923,0.9921,
fedprox,0.9774,0.9767,0.0581,,3573.92,,,0.0000
ditto,0.9921,0.9919,0.0002,,5888.71,0.9921,0.9919,0.0000
