round,median_client_loss,lg_ema,test_acc,train_loss,avg_mu,time_cost
0,2.307430863380432,2.307430863380432,0.060715101667809,2.3126941508009233,0.05000000000000001,0.0
1,2.1872514486312866,2.2954129219055175,0.18340187342928946,2.2072889364402712,0.05000000000000001,9.580672025680542
2,1.877680242061615,2.2536396539211276,0.33110578021475895,1.9566742582630565,0.0664605696976,9.164183616638184
3,1.3971959352493286,2.1679952820539476,0.5873315055974412,1.5605715045065598,0.07722166643736632,9.181022644042969
4,1.0509802103042603,2.056293774878979,0.6591272561114919,1.2331808041482595,0.08203893020147321,9.196670532226562
5,0.7993020117282867,1.9305945985639097,0.6919122686771761,1.0127331243643096,0.08499345162248877,9.055430889129639
6,0.618090957403183,1.7993442344478372,0.7156157185286726,0.8659720313934367,0.08606194112215895,9.029103994369507
7,0.5893731117248535,1.6783471221755388,0.7409184372858122,0.7611486649172707,0.08633872585189184,9.039547204971313
0,2.3084325790405273,2.3084325790405273,0.060715101667809,2.3126941508009233,0.05000000000000001,0.0
8,0.5027971565723419,1.560792125615219,0.7619945167923236,0.6787047006886537,0.0869921287672778,10.441250324249268
1,2.160433292388916,2.2936326503753666,0.20202193283070596,2.205758550603881,0.05000000000000001,13.066352844238281
9,0.4339432865381241,1.4481072417075096,0.7804432259538496,0.6146881603419013,0.08775879588630336,12.990195751190186
2,1.8517881631851196,2.249448201656342,0.34395704820653417,1.9468558966772247,0.06635529172599085,13.283547163009644
10,0.41014011204242706,1.3443105287410013,0.7907242403472698,0.5663521212626974,0.08869124890676103,13.445657968521118
3,1.3890879154205322,2.1634121730327607,0.584704135252456,1.5504442141597508,0.07668091525553573,13.091041088104248
11,0.3828883469104767,1.2481683105579489,0.8057459447109893,0.520151973052576,0.08954709023401244,13.284038543701172
4,1.067392885684967,2.0538102442979813,0.6450194196938542,1.2439104526026445,0.08119163551538126,12.887076377868652
12,0.35035093128681183,1.158386572630835,0.8161983093442997,0.4821587708039309,0.08953929559241619,13.378058195114136
5,0.7950687408447266,1.927936093952656,0.6864861777473155,1.0180685949717996,0.0839211008626599,13.269351243972778
13,0.3466776907444,1.0772156844421916,0.8273931916838017,0.44942058544509994,0.09071497701384038,13.256614685058594
14,0.29640455543994904,0.9991345715419674,0.8348754854923464,0.4304763580386292,0.0915195474089722,13.85095477104187
15,0.3127105236053467,0.9304921667483053,0.8473840530043408,0.4007298157230919,0.09155842176989668,12.666585922241211
16,0.31207944452762604,0.8686508945262374,0.8530957276673521,0.38405859187860325,0.09276566062550272,16.947795629501343
17,0.29508674144744873,0.8112944792183586,0.8648046607265251,0.35898174923019954,0.09317429205861014,15.814318180084229
18,0.2568608969449997,0.7558511209910227,0.8717729038153986,0.34323761005062103,0.0943884155844064,16.250964879989624
19,0.27743762731552124,0.7080097716234726,0.8798834818368746,0.33234009089917904,0.09598397356713068,18.479533672332764
20,0.21842247247695923,0.6590510417088212,0.890335846470185,0.31150563492067335,0.0963854043970798,16.606175422668457
21,0.21687251329421997,0.614833188867361,0.8909641306831163,0.3038345769656918,0.09769591960998104,17.674494981765747
22,0.23812147974967957,0.577162017955593,0.9003312771304547,0.2886673414958854,0.09776532091116077,18.726953268051147
23,0.20783638209104538,0.5402294543691383,0.8986748914781814,0.2860179095426379,0.10073787568458803,22.68917465209961
24,0.1914387345314026,0.5053503823853647,0.9034726981951108,0.275841716572621,0.10575005706096426,21.592438220977783
25,0.18088586628437042,0.47290393077526527,0.9019305460360978,0.27209546976111376,0.10749156500787452,24.406003952026367
26,0.16894236952066422,0.4425077746498052,0.9138679460817912,0.25368556540245224,0.10764409550551216,21.60827922821045
27,0.20870279520750046,0.4191272767055747,0.9073566369659585,0.25586409606235033,0.11000145520198797,23.07259464263916
28,0.16846473515033722,0.39406102255005093,0.9197509709846927,0.23724590801118023,0.11329501562722726,21.697319269180298
29,0.17430607974529266,0.37208552826957514,0.9163239661868859,0.23815622376051432,0.11430386127599326,20.968284845352173
30,0.16930262744426727,0.35180723818704435,0.9256339958875942,0.22388437233618877,0.11715386655008811,23.27088475227356
31,0.18428605049848557,0.3350551194181885,0.9259766963673749,0.22115265233829867,0.11938179905672855,20.20163869857788
32,0.1801464855670929,0.3195642560330789,0.9298035183915924,0.21398219294790072,0.11725731511065354,23.44680643081665
33,0.1759888231754303,0.3052067127473141,0.9340872743888509,0.20341887619288174,0.11588827963897845,20.74194836616516
34,0.1854059174656868,0.2932266332191514,0.929575051405072,0.2072325604935781,0.1135217957472849,22.720675706863403
35,0.17426090687513351,0.2813300605847496,0.9298035183915924,0.2040038137830761,0.11186525702309942,22.34273910522461
36,0.16614624112844467,0.2698116786391191,0.9365432944939456,0.1935530309186571,0.11416112311069855,22.149981260299683
37,0.1415708363056183,0.256987594405769,0.9412839844642449,0.18510047851752656,0.11534218960811174,21.709365129470825
38,0.1442386582493782,0.24571270079012994,0.9395704820653416,0.18506195023509261,0.11933597267104709,22.93340301513672
39,0.13328561931848526,0.23446999264296547,0.9409984007310943,0.18042294952137758,0.11710649856551839,21.32963991165161
40,0.14935559034347534,0.22595855241301646,0.9416266849440256,0.17774454795400868,0.11638626378155523,22.398427486419678
41,0.1419830471277237,0.21756100188448718,0.9406557002513137,0.17812775573125025,0.12147680620566999,21.646243572235107
42,0.14707983285188675,0.21051288498122717,0.9429974868631483,0.17258907608571908,0.12360683050534042,21.028342247009277
43,0.12711399793624878,0.20217299627672933,0.9422549691569568,0.17333038252014543,0.12170784675085618,23.64244318008423
44,0.140123151242733,0.19596801177332968,0.9457390907013936,0.16496736247964267,0.12288955245269266,20.267195463180542
45,0.12350127473473549,0.18872133806947028,0.9456248572081334,0.16298198246054718,0.1184226867168849,23.833474159240723
