round,median_client_loss,lg_ema,test_acc_global,train_loss_global,test_acc_personalized,train_loss_personalized,avg_mu,time_cost
0,2.308399200439453,2.308399200439453,0.060715101667809,2.31268768624495,0.060715101667809,2.31268768624495,0.05000000000000001,0.0
1,2.1714876890182495,2.294708049297333,0.9074137537125885,0.33375831649190824,0.9074137537125885,0.33375831649190824,0.05000000000000001,57.46501803398132
2,1.8652096390724182,2.2517582082748415,0.9497943797121315,0.2069379463144898,0.9497943797121315,0.2069379463144898,0.06629228732113905,57.32333540916443
3,1.4111597537994385,2.167698362827301,0.9629312314370574,0.17146707393428068,0.9629312314370574,0.17146707393428068,0.07489981075959212,56.45030474662781
4,1.0503387451171875,2.0559624010562896,0.9728124286040667,0.1511603682778264,0.9728124286040667,0.1511603682778264,0.08070739166664438,56.42444658279419
5,0.778997540473938,1.9282659149980546,0.975496915695682,0.14501787120021367,0.975496915695682,0.14501787120021367,0.08457246495986423,58.042722940444946
6,0.6370036900043488,1.799139692498684,0.9782956362805575,0.14319158808491725,0.9782956362805575,0.14319158808491725,0.08557206154149748,58.81048774719238
7,0.5570503175258636,1.674930755001402,0.9797806716929404,0.14239139468871229,0.9797806716929404,0.14239139468871229,0.08775449801168214,58.33194088935852
0,2.3100223541259766,2.3100223541259766,0.060715101667809,2.31268768624495,0.060715101667809,2.31268768624495,0.05000000000000001,0.0
1,2.1688586473464966,2.2959059834480287,0.9025017135023989,0.33547968766954195,0.9025017135023989,0.33547968766954195,0.05000000000000001,58.12460160255432
2,1.8753423690795898,2.2538496220111846,0.9489376285126799,0.2062129388296735,0.9489376285126799,0.2062129388296735,0.06631854401442477,48.72960948944092
3,1.3748306632041931,2.1659477261304856,0.962245830477496,0.16722758573032062,0.962245830477496,0.16722758573032062,0.07539902215495783,43.26659536361694
4,1.0288599133491516,2.052238944852352,0.9702421750057116,0.15324802694358786,0.9702421750057116,0.15324802694358786,0.0819137676286974,30.919490814208984
5,0.8024812936782837,1.927263179734945,0.9757253826822024,0.14604951778625827,0.9757253826822024,0.14604951778625827,0.08385745398675248,31.737900257110596
