round,test_acc_global,train_loss_global,test_acc_personalized,train_loss_personalized,mu,time_cost
0,0.060715101667809,2.3126881142153994,0.060715101667809,2.3126881142153994,0.0,0.0
1,0.9063856522732465,0.31058509627239156,0.9063856522732465,0.31058509627239156,0.0,25.6967031955719
2,0.946424491660955,0.1801164762922045,0.946424491660955,0.1801164762922045,0.0,28.966748476028442
3,0.9645876170893306,0.12391449568373783,0.9645876170893306,0.12391449568373783,0.0,31.304526805877686
4,0.9707562257253827,0.09834751746784882,0.9707562257253827,0.09834751746784882,0.0,30.302148818969727
5,0.9750970984692712,0.08163583706315133,0.9750970984692712,0.08163583706315133,0.0,37.07891368865967
6,0.9784669865204478,0.06820469613384018,0.9784669865204478,0.06820469613384018,0.0,42.150656938552856
7,0.9807516563856523,0.06010800568804159,0.9807516563856523,0.06010800568804159,0.0,40.759236097335815
8,0.9827507425177062,0.052729249196382444,0.9827507425177062,0.052729249196382444,0.0,41.23264288902283
9,0.9818368745716244,0.051905576657273425,0.9818368745716244,0.051905576657273425,0.0,41.38482880592346
10,0.9828649760109665,0.04621491011226448,0.9828649760109665,0.04621491011226448,0.0,40.403279542922974
11,0.9853781128626914,0.03807377869324549,0.9853781128626914,0.03807377869324549,0.0,40.032875061035156
12,0.987205848754855,0.03654734758957743,0.987205848754855,0.03654734758957743,0.0,41.03907513618469
13,0.9864633310486635,0.03237026519178204,0.9864633310486635,0.03237026519178204,0.0,41.196518898010254
14,0.9863490975554032,0.029822036337452833,0.9863490975554032,0.029822036337452833,0.0,39.66509389877319
15,0.987777016221156,0.026544721002662947,0.987777016221156,0.026544721002662947,0.0,41.15065383911133
16,0.9880054832076764,0.025935210779101485,0.9880054832076764,0.025935210779101485,0.0,41.38853430747986
17,0.9880625999543066,0.022713742060565142,0.9880625999543066,0.022713742060565142,0.0,40.673879861831665
18,0.9873771989947453,0.02173578664418689,0.9873771989947453,0.02173578664418689,0.0,40.12452983856201
19,0.9894905186200594,0.01852637967566458,0.9894905186200594,0.01852637967566458,0.0,41.14746022224426
20,0.9889193511537583,0.01752761979424825,0.9889193511537583,0.01752761979424825,0.0,41.294177770614624
21,0.9890335846470185,0.01632289757206507,0.9890335846470185,0.01632289757206507,0.0,40.13159990310669
22,0.9893762851267992,0.015426688068230868,0.9893762851267992,0.015426688068230868,0.0,40.895448207855225
23,0.989262051633539,0.014851895988439487,0.989262051633539,0.014851895988439487,0.0,41.60836148262024
24,0.9896618688599498,0.013695241732339228,0.9896618688599498,0.013695241732339228,0.0,40.85785102844238
25,0.9902901530728809,0.012345635111065808,0.9902901530728809,0.012345635111065808,0.0,40.08428597450256
26,0.9902901530728809,0.011756565488165208,0.9902901530728809,0.011756565488165208,0.0,41.560885190963745
27,0.9908613205391821,0.011090570018014157,0.9908613205391821,0.011090570018014157,0.0,41.312721967697144
28,0.9901188028329906,0.010185028380429883,0.9901188028329906,0.010185028380429883,0.0,40.19024109840393
29,0.9905757368060315,0.009180595933902485,0.9905757368060315,0.009180595933902485,0.0,40.43196964263916
30,0.9906899702992917,0.008784315470748996,0.9906899702992917,0.008784315470748996,0.0,41.963062047958374
31,0.9904043865661412,0.008232306914637983,0.9904043865661412,0.008232306914637983,0.0,41.26580834388733
32,0.9912611377655929,0.0077753397166608,0.9912611377655929,0.0077753397166608,0.0,32.40027332305908
33,0.9899474525931004,0.007713209365101671,0.9899474525931004,0.007713209365101671,0.0,31.937770128250122
34,0.9910897875257025,0.006878136817455588,0.9910897875257025,0.006878136817455588,0.0,32.0493483543396
35,0.9912040210189628,0.006726221011834742,0.9912040210189628,0.006726221011834742,0.0,31.972224950790405
36,0.9909755540324423,0.006104345244817514,0.9909755540324423,0.006104345244817514,0.0,32.06951284408569
37,0.9912040210189628,0.005784684354303598,0.9912040210189628,0.005784684354303598,0.0,31.712756156921387
38,0.9910897875257025,0.005611960727672337,0.9910897875257025,0.005611960727672337,0.0,31.661028146743774
39,0.9913753712588531,0.004946753956729473,0.9913753712588531,0.004946753956729473,0.0,32.017598390579224
40,0.9916038382453736,0.004837074853847566,0.9916038382453736,0.004837074853847566,0.0,32.03292465209961
41,0.9916038382453736,0.004588517119227717,0.9916038382453736,0.004588517119227717,0.0,31.890286207199097
42,0.9914324880054832,0.004399114519682829,0.9914324880054832,0.004399114519682829,0.0,31.843594789505005
43,0.9909755540324423,0.0042836332449299255,0.9909755540324423,0.0042836332449299255,0.0,31.501914978027344
44,0.991318254512223,0.00411965411558469,0.991318254512223,0.00411965411558469,0.0,32.08746957778931
45,0.9912611377655929,0.003701222943081834,0.9912611377655929,0.003701222943081834,0.0,32.06866455078125
46,0.9911469042723327,0.0037728317159888302,0.9911469042723327,0.0037728317159888302,0.0,32.02848672866821
47,0.9914324880054832,0.003437639071877732,0.9914324880054832,0.003437639071877732,0.0,31.922295093536377
48,0.9916038382453736,0.0033106715589882266,0.9916038382453736,0.0033106715589882266,0.0,31.548126935958862
49,0.9916609549920037,0.0032281939178472547,0.9916609549920037,0.0032281939178472547,0.0,32.010332345962524
50,0.9913753712588531,0.0030105874548018267,0.9913753712588531,0.0030105874548018267,0.0,32.1092255115509
51,0.9915467214987435,0.002882662603684074,0.9915467214987435,0.002882662603684074,0.0,32.053574323654175
52,0.9915467214987435,0.0028400825884938355,0.9915467214987435,0.0028400825884938355,0.0,31.661134243011475
53,0.991832305231894,0.0027266189855569265,0.991832305231894,0.0027266189855569265,0.0,31.683743715286255
54,0.9914896047521133,0.0025795513150958897,0.9914896047521133,0.0025795513150958897,0.0,31.954288005828857
55,0.9914896047521133,0.0025783487225668885,0.9914896047521133,0.0025783487225668885,0.0,32.04522228240967
56,0.9912611377655929,0.002440253858072113,0.9912611377655929,0.002440253858072113,0.0,31.858134746551514
57,0.9918894219785241,0.00232730839291577,0.9918894219785241,0.00232730839291577,0.0,31.70033097267151
58,0.9916038382453736,0.0022947626581456475,0.9916038382453736,0.0022947626581456475,0.0,31.7063992023468
59,0.9917751884852639,0.0021519556950472555,0.9917751884852639,0.0021519556950472555,0.0,32.1397545337677
60,0.9917751884852639,0.0021060939501408764,0.9917751884852639,0.0021060939501408764,0.0,32.18533802032471
61,0.9917751884852639,0.002000295056671368,0.9917751884852639,0.002000295056671368,0.0,32.07002854347229
62,0.9916038382453736,0.0019334592680920032,0.9916038382453736,0.0019334592680920032,0.0,31.68688726425171
63,0.9917180717386338,0.0018644604921793494,0.9917180717386338,0.0018644604921793494,0.0,31.88438057899475
64,0.9918894219785241,0.0018395767932227899,0.9918894219785241,0.0018395767932227899,0.0,32.086140394210815
65,0.9919465387251543,0.0017464739933356031,0.9919465387251543,0.0017464739933356031,0.0,32.398969888687134
66,0.9919465387251543,0.0017036206280620367,0.9919465387251543,0.0017036206280620367,0.0,32.307119846343994
67,0.9912611377655929,0.0016457753155286014,0.9912611377655929,0.0016457753155286014,0.0,31.881741523742676
68,0.9916038382453736,0.0016133438815512952,0.9916038382453736,0.0016133438815512952,0.0,31.962586879730225
69,0.9918894219785241,0.0015532175501576971,0.9918894219785241,0.0015532175501576971,0.0,32.150980949401855
70,0.9914896047521133,0.0015223021545695346,0.9914896047521133,0.0015223021545695346,0.0,32.31913352012634
71,0.9915467214987435,0.0014822920901349428,0.9915467214987435,0.0014822920901349428,0.0,32.27800178527832
72,0.9917180717386338,0.0014456143716995232,0.9917180717386338,0.0014456143716995232,0.0,32.152660608291626
73,0.9917180717386338,0.0014676815999683462,0.9917180717386338,0.0014676815999683462,0.0,31.80955219268799
74,0.9918894219785241,0.0014000479724897283,0.9918894219785241,0.0014000479724897283,0.0,32.58259916305542
75,0.9914896047521133,0.0013247647892447737,0.9914896047521133,0.0013247647892447737,0.0,33.14203119277954
76,0.9917751884852639,0.0013047661156867511,0.9917751884852639,0.0013047661156867511,0.0,33.522125005722046
77,0.9917180717386338,0.001262415801595741,0.9917180717386338,0.001262415801595741,0.0,32.83486557006836
78,0.9920607722184145,0.0012255987241619915,0.9920607722184145,0.0012255987241619915,0.0,32.285202980041504
79,0.9917751884852639,0.0011903936507684074,0.9917751884852639,0.0011903936507684074,0.0,32.22791504859924
80,0.9919465387251543,0.001157185135181769,0.9919465387251543,0.001157185135181769,0.0,32.28971576690674
81,0.9917180717386338,0.0011413812168389154,0.9917180717386338,0.0011413812168389154,0.0,32.44546175003052
82,0.9921178889650446,0.0011028766527984605,0.9921178889650446,0.0011028766527984605,0.0,32.230231285095215
83,0.991832305231894,0.0010600314998222907,0.991832305231894,0.0010600314998222907,0.0,32.17033791542053
84,0.9917751884852639,0.0010540004322065724,0.9917751884852639,0.0010540004322065724,0.0,31.835473775863647
85,0.9916609549920037,0.001017960442835023,0.9916609549920037,0.001017960442835023,0.0,32.45214319229126
86,0.9916038382453736,0.0010002592746112076,0.9916038382453736,0.0010002592746112076,0.0,32.796591997146606
87,0.9919465387251543,0.0009767852271587228,0.9919465387251543,0.0009767852271587228,0.0,34.08430814743042
88,0.9920036554717844,0.0009528851156251951,0.9920036554717844,0.0009528851156251951,0.0,33.01413059234619
89,0.991832305231894,0.0009270117318005672,0.991832305231894,0.0009270117318005672,0.0,41.009015798568726
90,0.9916609549920037,0.0009083558704610778,0.9916609549920037,0.0009083558704610778,0.0,40.92009949684143
91,0.9917180717386338,0.0008842369777712142,0.9917180717386338,0.0008842369777712142,0.0,41.687920570373535
92,0.9919465387251543,0.0008734611867139725,0.9919465387251543,0.0008734611867139725,0.0,40.82667899131775
