round,client_id,Li,Lg,g_pos,mu_final,acc_global,mu_prev,g_raw,g_pos_clipped,mu_star,mu_smoothed,mu_bounded,warmup_active
2,19,1.8394718170166016,2.2954129219055175,0.0,0.059,19.921875,0.05,-0.22143427420429979,0.0,0.08,0.059,0.059,0
2,0,1.8980274200439453,2.2954129219055175,0.0,0.059,41.6243654822335,0.05,-0.19009760192259395,0.0,0.08,0.059,0.059,0
2,10,1.545106291770935,2.2954129219055175,0.0,0.059,55.36480686695279,0.05,-0.39582004236577434,0.0,0.08,0.059,0.059,0
2,12,1.7969727516174316,2.2954129219055175,0.0,0.059,41.40625,0.05,-0.24480930409489446,0.0,0.08,0.059,0.059,0
2,7,1.6128027439117432,2.2954129219055175,0.0,0.059,35.78947368421053,0.05,-0.35293924765583023,0.0,0.08,0.059,0.059,0
2,15,2.1070351600646973,2.2954129219055175,0.0,0.059,4.296875,0.05,-0.0856309273912828,0.0,0.08,0.059,0.059,0
2,8,1.5960421562194824,2.2954129219055175,0.0,0.059,86.71875,0.05,-0.36338583546821207,0.0,0.08,0.059,0.059,0
2,13,1.8299014568328857,2.2954129219055175,0.0,0.059,38.125,0.05,-0.22665063194083684,0.0,0.08,0.059,0.059,0
2,17,2.0487120151519775,2.2954129219055175,0.0,0.059,13.671875,0.05,-0.11370143879804698,0.0,0.08,0.059,0.059,0
2,18,2.3914663791656494,2.2954129219055175,0.040993975665681394,0.06883855415976353,21.09375,0.05,0.040993975665681394,0.040993975665681394,0.11279518053254511,0.06883855415976353,0.06883855415976353,0
2,6,1.8573330640792847,2.2954129219055175,0.0,0.059,54.255319148936174,0.05,-0.21177112641842552,0.0,0.08,0.059,0.059,0
2,2,2.7596187591552734,2.2954129219055175,0.18417978898712745,0.10320314935691058,0.0,0.05,0.18417978898712745,0.18417978898712745,0.22734383118970197,0.10320314935691058,0.10320314935691058,0
2,1,2.7164576053619385,2.2954129219055175,0.1684159301393894,0.09941982323345347,10.81081081081081,0.05,0.1684159301393894,0.1684159301393894,0.21473274411151155,0.09941982323345347,0.09941982323345347,0
2,9,1.758599042892456,2.2954129219055175,0.0,0.059,61.328125,0.05,-0.26639525467891256,0.0,0.08,0.059,0.059,0
2,14,1.6936243772506714,2.2954129219055175,0.0,0.059,37.5,0.05,-0.30404191369697736,0.0,0.08,0.059,0.059,0
2,11,1.9310963153839111,2.2954129219055175,0.0,0.059,19.140625,0.05,-0.1728248682027429,0.0,0.08,0.059,0.059,0
2,5,2.8835933208465576,2.2954129219055175,0.22812444667446966,0.11374986720187272,0.0,0.05,0.22812444667446966,0.22812444667446966,0.26249955733957575,0.11374986720187272,0.11374986720187272,0
2,4,1.906556487083435,2.2954129219055175,0.0,0.059,44.75524475524475,0.05,-0.18561402027959836,0.0,0.08,0.059,0.059,0
3,18,2.277418851852417,2.2536396539211276,0.010496185872822842,0.07470607252131195,19.140625,0.06883855415976353,0.010496185872822842,0.010496185872822842,0.08839694869825827,0.07470607252131195,0.07470607252131195,0
3,15,1.623985767364502,2.2536396539211276,0.0,0.0653,43.359375,0.059,-0.32766305375347743,0.0,0.08,0.0653,0.0653,0
