round,test_acc,train_loss,mu,time_cost
0,0.010594349680170576,4.606204832654457,0.08,0.0
1,0.010394456289978678,4.6119519435740655,0.08,23.052342414855957
2,0.016257995735607676,4.589407268519071,0.08,21.542218685150146
3,0.03244936034115139,4.510122515305986,0.08,22.623555898666382
4,0.04997334754797441,4.399963590981408,0.08,20.794554233551025
5,0.05670309168443497,4.299241376948213,0.08,23.303040981292725
6,0.06103411513859275,4.224149825392919,0.08,21.570786476135254
7,0.06789712153518124,4.167276196289658,0.08,22.965409517288208
8,0.07289445628997868,4.120745568637673,0.08,20.846216917037964
9,0.07915778251599147,4.082563311093951,0.08,23.016311168670654
10,0.07982409381663114,4.046586060369963,0.08,20.63119387626648
11,0.08482142857142858,4.016817955854981,0.08,22.68003797531128
12,0.08668710021321961,3.9876250064991767,0.08,20.485217332839966
13,0.09088486140724947,3.9626248999782807,0.08,23.76179313659668
14,0.09501599147121535,3.934467163083813,0.08,20.756218910217285
15,0.09841417910447761,3.909772339417425,0.08,22.642259120941162
16,0.09948027718550106,3.893205160233193,0.08,21.212332487106323
17,0.10434434968017058,3.8683264989527864,0.08,22.427502632141113
18,0.10734275053304904,3.8473518989377733,0.08,21.688876390457153
19,0.11054104477611941,3.826089603913125,0.08,22.646761655807495
20,0.1154051172707889,3.797054379468082,0.08,21.589977741241455
21,0.12160181236673774,3.7713233086706457,0.08,22.856622457504272
22,0.12559968017057568,3.7478181054422706,0.08,21.60072684288025
23,0.1265991471215352,3.7255060900343793,0.08,22.02064275741577
24,0.13212953091684435,3.6985637189869784,0.08,21.345975875854492
25,0.13272921108742003,3.679851546641261,0.08,22.036603927612305
26,0.14012526652452026,3.651278106824782,0.08,21.685709714889526
27,0.1429904051172708,3.628416310707852,0.08,21.415990591049194
28,0.14578891257995735,3.604770286493775,0.08,22.234923839569092
29,0.15011993603411514,3.5827534798658034,0.08,21.48091149330139
30,0.15418443496801706,3.557875796266217,0.08,21.99573516845703
31,0.15591684434968017,3.5398351282020752,0.08,20.99490475654602
32,0.15844882729211088,3.5194115242519364,0.08,22.26437997817993
33,0.16104744136460555,3.4975814005133037,0.08,21.281955242156982
34,0.16178038379530918,3.4825998243815013,0.08,22.590514659881592
35,0.16677771855010662,3.4553979501662635,0.08,21.125455856323242
36,0.17104211087420043,3.4347456194133423,0.08,22.358421564102173
37,0.1728411513859275,3.413503082671179,0.08,20.96323323249817
38,0.1732409381663113,3.4062930578430235,0.08,22.236544132232666
39,0.17877132196162046,3.3793192357521966,0.08,20.982298612594604
40,0.18050373134328357,3.3610816166007353,0.08,22.945537567138672
41,0.18350213219616204,3.342258967676628,0.08,20.594003438949585
42,0.18776652452025586,3.3212410952206257,0.08,22.66087770462036
43,0.18983208955223882,3.307880967516866,0.08,20.598647594451904
44,0.193363539445629,3.287775973085041,0.08,23.152260065078735
45,0.19829424307036247,3.2656587619881345,0.08,20.740322828292847
46,0.20015991471215352,3.2527749142473645,0.08,22.90400195121765
47,0.20162579957356078,3.2361086315395946,0.08,20.724933385849
48,0.20788912579957355,3.2176962680874013,0.08,22.65083074569702
49,0.20582356076759062,3.204405796530518,0.08,20.554497003555298
50,0.20968816631130063,3.187453442677859,0.08,22.7344970703125
51,0.21108742004264391,3.1686963248449382,0.08,21.41541814804077
52,0.2175506396588486,3.15099521834751,0.08,22.62657880783081
53,0.21768390191897655,3.1376689932717596,0.08,21.466387271881104
54,0.22028251599147122,3.1204622087140845,0.08,22.4656183719635
55,0.22514658848614072,3.103985521436986,0.08,21.40075182914734
56,0.22394722814498935,3.0939122314680443,0.08,22.187413454055786
57,0.22721215351812366,3.082622082442158,0.08,21.37393307685852
58,0.2282782515991471,3.073456769160583,0.08,21.604169845581055
59,0.2310767590618337,3.0556124084164185,0.08,21.357080221176147
60,0.2332089552238806,3.0402252400842906,0.08,21.860414505004883
61,0.2371401918976546,3.0253003842317066,0.08,21.966877698898315
62,0.23654051172707888,3.005794793546638,0.08,21.3311665058136
63,0.2398054371002132,2.9944906426474573,0.08,21.9559166431427
64,0.24113805970149255,2.9838080395566617,0.08,21.298001766204834
65,0.24500266524520256,2.968282444462741,0.08,22.44669270515442
66,0.24553571428571427,2.960301469816453,0.08,21.054271936416626
67,0.24780117270788912,2.940690379441249,0.08,22.49016237258911
68,0.2502665245202559,2.9243015036547892,0.08,20.870869874954224
69,0.25066631130063965,2.9188724796605765,0.08,22.61507749557495
70,0.2535314498933902,2.904716950319052,0.08,20.636388063430786
71,0.2556636460554371,2.8938251341549743,0.08,22.79297161102295
72,0.2553304904051173,2.879565122704326,0.08,21.031195878982544
73,0.25593017057569295,2.8699314106437512,0.08,22.649487257003784
74,0.259794776119403,2.86089097757758,0.08,20.930370092391968
75,0.26026119402985076,2.8483915614986186,0.08,22.822713613510132
76,0.263726012793177,2.834693137057562,0.08,20.609028816223145
77,0.26392590618336886,2.825646793053606,0.08,23.126210927963257
78,0.2663912579957356,2.8151784140486367,0.08,20.238660097122192
79,0.2669243070362473,2.805913963384792,0.08,23.36845898628235
80,0.2699227078891258,2.7957394197964938,0.08,20.61788272857666
81,0.2685900852878465,2.7863424981615013,0.08,23.815559148788452
82,0.2711220682302772,2.7777972171183922,0.08,21.28888177871704
83,0.271521855010661,2.7638728694571606,0.08,23.5460422039032
84,0.2732542643923241,2.7556155418653905,0.08,20.86545205116272
85,0.27425373134328357,2.7446848216341504,0.08,23.18387246131897
86,0.27625266524520253,2.7355223807547135,0.08,21.243727684020996
87,0.2771855010660981,2.718479675209902,0.08,22.867644548416138
88,0.2777185501066098,2.709945327668924,0.08,21.544593811035156
89,0.2807169509594883,2.700773415426869,0.08,22.602531909942627
90,0.2809168443496802,2.6956514255536854,0.08,21.604501485824585
91,0.2805170575692964,2.6864739763468513,0.08,22.49829125404358
92,0.283115671641791,2.669652538433402,0.08,21.316458702087402
93,0.28524786780383793,2.6637691779480823,0.08,22.233073711395264
94,0.28544776119402987,2.6551257943384736,0.08,21.658743143081665
95,0.2875133262260128,2.643483810579891,0.08,22.37760877609253
96,0.287113539445629,2.6363697507036745,0.08,21.245898962020874
97,0.2876465884861407,2.624681037846321,0.08,21.63890290260315
98,0.2900453091684435,2.615540985608053,0.08,21.50557541847229
99,0.28991204690831557,2.6073742191943965,0.08,21.35817289352417
100,0.2899786780383795,2.5966259341485305,0.08,22.580301523208618
101,0.2898454157782516,2.591918363181327,0.08,21.537731170654297
102,0.2921775053304904,2.5776381504033767,0.08,22.333980560302734
103,0.29271055437100213,2.5718180883777886,0.08,21.88954186439514
104,0.2934434968017058,2.557335778224386,0.08,22.826593160629272
105,0.2937100213219616,2.5529421186309054,0.08,21.28689956665039
106,0.2942430703624733,2.541835706625412,0.08,23.44421148300171
107,0.2966417910447761,2.537073609132654,0.08,21.176166772842407
108,0.29697494669509594,2.5234680125457882,0.08,23.052111625671387
109,0.2981743070362473,2.517950928989299,0.08,21.27345108985901
110,0.2984408315565032,2.50684660894883,0.08,23.540233612060547
111,0.29757462686567165,2.502183817414989,0.08,20.79366421699524
112,0.29737473347547977,2.4922402957336067,0.08,23.197067737579346
