round,median_client_loss,lg_ema,test_acc_global,train_loss_global,test_acc_personalized,train_loss_personalized,avg_mu,time_cost
0,4.606721639633179,4.606721639633179,0.010594349680170576,4.606188954901233,0.010594349680170576,4.606188954901233,0.05000000000000001,0.0
1,4.6026291847229,4.606312394142151,0.1779717484008529,3.020045556345451,0.1779717484008529,3.020045556345451,0.05000000000000001,34.57358002662659
2,4.57381796836853,4.603062951564789,0.2256130063965885,2.7820458647189836,0.2256130063965885,2.7820458647189836,0.060087086057975546,35.25576162338257
3,4.495665788650513,4.592323235273361,0.269589552238806,2.615702629328358,0.269589552238806,2.615702629328358,0.06632387096182303,41.71873068809509
4,4.392587184906006,4.572349630236626,0.3056369936034115,2.4920436900717347,0.3056369936034115,2.4920436900717347,0.07042670967327612,49.38432788848877
5,4.260332345962524,4.541147901809216,0.31749733475479747,2.4174301043521274,0.31749733475479747,2.4174301043521274,0.07329869677129329,50.365575551986694
6,4.208409786224365,4.5078740902507315,0.333955223880597,2.3537114893282727,0.333955223880597,2.3537114893282727,0.0753090877399053,49.08290648460388
7,4.18388557434082,4.47547523865974,0.34128464818763327,2.3002769473560885,0.34128464818763327,2.3002769473560885,0.0767163614179337,51.57428479194641
8,4.120445489883423,4.439972263782108,0.35367803837953093,2.246088350514947,0.35367803837953093,2.246088350514947,0.0777014529925536,50.059908866882324
9,4.0822601318359375,4.404201050587491,0.3697361407249467,2.196846288292571,0.3697361407249467,2.196846288292571,0.0783910170947875,50.355634927749634
10,4.060497283935547,4.369830673922297,0.3757329424307036,2.1402980150930015,0.3757329424307036,2.1402980150930015,0.0789151582728876,49.06298851966858
11,4.010922193527222,4.33393982588279,0.39185767590618337,2.08201650407113,0.39185767590618337,2.08201650407113,0.07924061079102132,49.61953330039978
12,3.9928966760635376,4.299835510900865,0.39518923240938164,2.0459979839488533,0.39518923240938164,2.0459979839488533,0.0794684275537149,48.84442710876465
13,3.934874176979065,4.263339377508684,0.40051972281449894,1.9969072963724586,0.40051972281449894,1.9969072963724586,0.07962789928760043,49.85190510749817
14,3.9081923961639404,4.22782467937421,0.4021855010660981,1.9629287832854558,0.4021855010660981,1.9629287832854558,0.07973952950132031,49.01600623130798
15,3.920575261116028,4.197099737548392,0.4068496801705757,1.9158795461619609,0.4068496801705757,1.9158795461619609,0.07981767065092421,51.74691462516785
16,3.9129140377044678,4.168681167563999,0.4117803837953092,1.8723147437922485,0.4117803837953092,1.8723147437922485,0.07987236945564696,50.35957431793213
17,3.9035743474960327,4.142170485557203,0.4306369936034115,1.8151252695833768,0.4306369936034115,1.8151252695833768,0.07991065861895288,50.85803413391113
18,3.8406039476394653,4.112013831765429,0.42137526652452023,1.7913698795431838,0.42137526652452023,1.7913698795431838,0.07996860856031737,51.03289842605591
19,3.8255001306533813,4.083362461654224,0.4386327292110874,1.7222085851129483,0.4386327292110874,1.7222085851129483,0.07997802599222216,52.041157484054565
20,3.7450406551361084,4.049530281002412,0.443363539445629,1.6612668465096798,0.443363539445629,1.6612668465096798,0.07998461819455552,50.608083963394165
21,3.72553288936615,4.017130541838786,0.43450159914712155,1.6339809693865799,0.43450159914712155,1.6339809693865799,0.07998923273618885,51.664199352264404
