round,client_id,Li,Lg,g_pos,mu_final,acc_global,acc_personalized,mu_prev,g_raw,g_pos_clipped,mu_star,mu_smoothed,mu_bounded,warmup_active
0,2,4.6087846755981445,0.0,0.0,0.05,2.4271844660194173,0.970873786407767,0.05,0.0,0.0,0.08,0.059,0.059,1
0,19,4.606367111206055,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
0,8,4.607076168060303,0.0,0.0,0.05,0.47619047619047616,1.4285714285714286,0.05,0.0,0.0,0.08,0.059,0.059,1
0,16,4.587362766265869,0.0,0.0,0.05,1.2,0.8,0.05,0.0,0.0,0.08,0.059,0.059,1
0,15,4.611894130706787,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
0,10,4.599007606506348,0.0,0.0,0.05,1.932367149758454,5.797101449275362,0.05,0.0,0.0,0.08,0.059,0.059,1
0,12,4.602969646453857,0.0,0.0,0.05,0.8130081300813008,0.8130081300813008,0.05,0.0,0.0,0.08,0.059,0.059,1
0,3,4.613770008087158,0.0,0.0,0.05,0.44052863436123346,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
0,7,4.610768795013428,0.0,0.0,0.05,0.8771929824561403,1.3157894736842106,0.05,0.0,0.0,0.08,0.059,0.059,1
0,0,4.616079330444336,0.0,0.0,0.05,0.4424778761061947,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
0,11,4.619549751281738,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
0,14,4.589280605316162,0.0,0.0,0.05,0.8097165991902834,0.8097165991902834,0.05,0.0,0.0,0.08,0.059,0.059,1
0,17,4.5984416007995605,0.0,0.0,0.05,8.080808080808081,10.606060606060606,0.05,0.0,0.0,0.08,0.059,0.059,1
0,9,4.595925331115723,0.0,0.0,0.05,1.25,2.0833333333333335,0.05,0.0,0.0,0.08,0.059,0.059,1
0,4,4.612355709075928,0.0,0.0,0.05,2.0202020202020203,3.0303030303030303,0.05,0.0,0.0,0.08,0.059,0.059,1
0,6,4.601255416870117,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
0,18,4.611611366271973,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
0,1,4.6056108474731445,0.0,0.0,0.05,1.3157894736842106,1.7543859649122806,0.05,0.0,0.0,0.08,0.059,0.059,1
0,5,4.619378566741943,0.0,0.0,0.05,2.3255813953488373,1.8604651162790697,0.05,0.0,0.0,0.08,0.059,0.059,1
0,13,4.604273796081543,0.0,0.0,0.05,0.45045045045045046,0.45045045045045046,0.05,0.0,0.0,0.08,0.059,0.059,1
1,0,4.641305446624756,4.606721639633179,0.007479209956492587,0.05,0.0,14.601769911504425,0.05,0.007479209956492587,0.007479209956492587,0.08598336796519407,0.060795010389558216,0.060795010389558216,1
1,16,4.57957649230957,4.606721639633179,0.0,0.05,5.2,14.4,0.05,-0.005909938014991642,0.0,0.08,0.059,0.059,1
1,11,4.60466194152832,4.606721639633179,0.0,0.05,0.0,21.115537848605577,0.05,-0.0004472071142332556,0.0,0.08,0.059,0.059,1
1,2,4.6156840324401855,4.606721639633179,0.0019436133971194888,0.05,0.0,27.184466019417474,0.05,0.0019436133971194888,0.0019436133971194888,0.08155489071769559,0.05946646721530867,0.05946646721530867,1
1,17,4.574191570281982,4.606721639633179,0.0,0.05,1.0101010101010102,19.696969696969695,0.05,-0.007086485771102729,0.0,0.08,0.059,0.059,1
1,4,4.599433422088623,4.606721639633179,0.0,0.05,3.0303030303030303,10.606060606060606,0.05,-0.0015833361490134932,0.0,0.08,0.059,0.059,1
1,7,4.650882244110107,4.606721639633179,0.009540468547965548,0.05,0.0,15.350877192982455,0.05,0.009540468547965548,0.009540468547965548,0.08763237483837244,0.06128971245151173,0.06128971245151173,1
1,1,4.587274551391602,4.606721639633179,0.0,0.05,0.0,17.54385964912281,0.05,-0.0042303948789385246,0.0,0.08,0.059,0.059,1
1,19,4.568648338317871,4.606721639633179,0.0,0.05,0.5128205128205128,9.23076923076923,0.05,-0.0082990701948952,0.0,0.08,0.059,0.059,1
1,18,4.715855598449707,4.606721639633179,0.023413899708189523,0.05,0.8810572687224669,20.26431718061674,0.05,0.023413899708189523,0.023413899708189523,0.09873111976655162,0.06461933592996548,0.06461933592996548,1
1,15,4.6280341148376465,4.606721639633179,0.004615717743533697,0.05,0.0,21.794871794871796,0.05,0.004615717743533697,0.004615717743533697,0.08369257419482697,0.060107772258448086,0.060107772258448086,1
1,6,4.577680587768555,4.606721639633179,0.0,0.05,0.0,19.65811965811966,0.05,-0.006324014969997841,0.0,0.08,0.059,0.059,1
1,14,4.531072616577148,4.606721639633179,0.0,0.05,3.6437246963562755,14.979757085020243,0.05,-0.01655777074598001,0.0,0.08,0.059,0.059,1
1,12,4.656103610992432,4.606721639633179,0.01066250042814318,0.05,0.0,23.170731707317074,0.05,0.01066250042814318,0.01066250042814318,0.08853000034251454,0.06155900010275436,0.06155900010275436,1
1,13,4.6005964279174805,4.606721639633179,0.0,0.05,4.504504504504505,19.36936936936937,0.05,-0.001330509614429357,0.0,0.08,0.059,0.059,1
1,3,4.644927501678467,4.606721639633179,0.008259301356257236,0.05,0.0,23.788546255506606,0.05,0.008259301356257236,0.008259301356257236,0.08660744108500579,0.060982232325501734,0.060982232325501734,1
1,10,4.58684778213501,4.606721639633179,0.0,0.05,2.4154589371980677,22.705314009661837,0.05,-0.004323432499422318,0.0,0.08,0.059,0.059,1
1,9,4.487326622009277,4.606721639633179,0.0,0.05,0.0,15.833333333333334,0.05,-0.026259345588571018,0.0,0.08,0.059,0.059,1
1,5,4.714186191558838,4.606721639633179,0.023059838306990443,0.05,0.0,10.232558139534884,0.05,0.023059838306990443,0.023059838306990443,0.09844787064559235,0.0645343611936777,0.0645343611936777,1
1,8,4.629380226135254,4.606721639633179,0.004906535731063485,0.05,0.0,24.285714285714285,0.05,0.004906535731063485,0.004906535731063485,0.08392522858485078,0.060177568575455226,0.060177568575455226,1
2,11,4.526954174041748,4.606312394142151,0.0,0.059,3.187250996015936,23.10756972111554,0.05,-0.01737827677222901,0.0,0.08,0.059,0.059,0
2,1,4.555978775024414,4.606312394142151,0.0,0.059,7.456140350877193,23.24561403508772,0.05,-0.010987235491857867,0.0,0.08,0.059,0.059,0
2,14,4.520839691162109,4.606312394142151,0.0,0.059,0.4048582995951417,23.88663967611336,0.05,-0.018729873390819725,0.0,0.08,0.059,0.059,0
2,19,4.498414516448975,4.606312394142151,0.0,0.059,2.5641025641025643,24.615384615384617,0.05,-0.023702617335793506,0.0,0.08,0.059,0.059,0
2,17,4.625419616699219,4.606312394142151,0.004139472371407051,0.05999347336913769,0.5050505050505051,18.181818181818183,0.05,0.004139472371407051,0.004139472371407051,0.08331157789712565,0.05999347336913769,0.05999347336913769,0
2,7,4.501499652862549,4.606312394142151,0.0,0.059,3.0701754385964914,25.43859649122807,0.05,-0.023017024902460735,0.0,0.08,0.059,0.059,0
2,9,4.466148376464844,4.606312394142151,0.0,0.059,2.0833333333333335,20.0,0.05,-0.03090124589896826,0.0,0.08,0.059,0.059,0
2,13,4.5916571617126465,4.606312394142151,0.0,0.059,0.45045045045045046,34.68468468468468,0.05,-0.0031866260722274373,0.0,0.08,0.059,0.059,0
2,8,4.634467601776123,4.606312394142151,0.00609370523049627,0.06046248925531911,0.0,26.666666666666668,0.05,0.00609370523049627,0.00609370523049627,0.08487496418439702,0.06046248925531911,0.06046248925531911,0
2,6,4.481980323791504,4.606312394142151,0.0,0.059,3.4188034188034186,20.94017094017094,0.05,-0.027362637025108914,0.0,0.08,0.059,0.059,0
2,15,4.605284214019775,4.606312394142151,0.0,0.059,1.2820512820512822,28.205128205128204,0.05,-0.00022323602913793333,0.0,0.08,0.059,0.059,0
2,3,4.658897399902344,4.606312394142151,0.011351188250149864,0.06172428518003596,1.7621145374449338,24.229074889867842,0.05,0.011351188250149864,0.011351188250149864,0.08908095060011989,0.06172428518003596,0.06172428518003596,0
2,10,4.7004780769348145,4.606312394142151,0.020236599592866004,0.06385678390228783,0.966183574879227,31.884057971014492,0.05,0.020236599592866004,0.020236599592866004,0.0961892796742928,0.06385678390228783,0.06385678390228783,0
2,16,4.510609149932861,4.606312394142151,0.0,0.059,3.2,27.2,0.05,-0.0209954114594998,0.0,0.08,0.059,0.059,0
2,4,4.555649280548096,4.606312394142151,0.0,0.059,1.0101010101010102,10.606060606060606,0.05,-0.011059559444005449,0.0,0.08,0.059,0.059,0
2,5,4.609859943389893,4.606312394142151,0.0007698530985163389,0.05918476474364392,0.46511627906976744,12.55813953488372,0.05,0.0007698530985163389,0.0007698530985163389,0.08061588247881307,0.05918476474364392,0.05918476474364392,0
2,2,4.634016990661621,4.606312394142151,0.005996470108747893,0.06043915282609949,0.0,26.21359223300971,0.05,0.005996470108747893,0.005996470108747893,0.08479717608699831,0.06043915282609949,0.06043915282609949,0
2,0,4.51515531539917,4.606312394142151,0.0,0.059,1.3274336283185841,27.43362831858407,0.05,-0.019988036215407665,0.0,0.08,0.059,0.059,0
2,12,4.6862053871154785,4.606312394142151,0.017195546628189708,0.06312693119076553,0.8130081300813008,23.577235772357724,0.05,0.017195546628189708,0.017195546628189708,0.09375643730255177,0.06312693119076553,0.06312693119076553,0
2,18,4.722013473510742,4.606312394142151,0.02480766955092223,0.06495384069222133,1.3215859030837005,17.180616740088105,0.05,0.02480766955092223,0.02480766955092223,0.09984613564073778,0.06495384069222133,0.06495384069222133,0
3,4,4.462048530578613,4.603062951564789,0.0,0.0653,0.5050505050505051,17.171717171717173,0.059,-0.031113968506917878,0.0,0.08,0.0653,0.0653,0
3,17,4.568366050720215,4.603062951564789,0.0,0.06599543135839639,0.5050505050505051,29.292929292929294,0.05999347336913769,-0.007566338090108588,0.0,0.08,0.06599543135839639,0.06599543135839639,0
3,0,4.462162017822266,4.603062951564789,0.0,0.0653,2.6548672566371683,26.991150442477878,0.059,-0.03108853494216985,0.0,0.08,0.0653,0.0653,0
3,8,4.616249084472656,4.603062951564789,0.0028605479062362234,0.06701027397622006,0.0,27.142857142857142,0.06046248925531911,0.0028605479062362234,0.0028605479062362234,0.08228843832498899,0.06701027397622006,0.06701027397622006,0
3,5,4.492963790893555,4.603062951564789,0.0,0.06542933532055074,2.7906976744186047,21.86046511627907,0.05918476474364392,-0.02420936984064612,0.0,0.08,0.06542933532055074,0.06542933532055074,0
3,12,4.576050758361816,4.603062951564789,0.0,0.06818885183353587,3.252032520325203,28.048780487804876,0.06312693119076553,-0.005885594616953452,0.0,0.08,0.06818885183353587,0.06818885183353587,0
3,15,4.5589399337768555,4.603062951564789,0.0,0.0653,4.700854700854701,29.914529914529915,0.059,-0.009631815086245795,0.0,0.08,0.0653,0.0653,0
3,14,4.468570232391357,4.603062951564789,0.0,0.0653,2.42914979757085,26.31578947368421,0.059,-0.029653441945312154,0.0,0.08,0.0653,0.0653,0
3,7,4.387324810028076,4.603062951564789,0.0,0.0653,3.508771929824561,26.31578947368421,0.059,-0.04800228218181954,0.0,0.08,0.0653,0.0653,0
3,1,4.498367786407471,4.603062951564789,0.0,0.0653,10.964912280701755,25.87719298245614,0.059,-0.023007324046621473,0.0,0.08,0.0653,0.0653,0
3,3,4.567118167877197,4.603062951564789,0.0,0.06720699962602517,3.5242290748898677,29.515418502202643,0.06172428518003596,-0.007839532771022535,0.0,0.08,0.06720699962602517,0.06720699962602517,0
3,2,4.5780930519104,4.603062951564789,0.0,0.06630740697826965,1.4563106796116505,33.49514563106796,0.06043915282609949,-0.005439393722509468,0.0,0.08,0.06630740697826965,0.06630740697826965,0
3,16,4.465968608856201,4.603062951564789,0.0,0.0653,3.2,30.0,0.059,-0.030235816402257216,0.0,0.08,0.0653,0.0653,0
3,10,4.646562576293945,4.603062951564789,0.009405774363402243,0.07095713457881801,0.966183574879227,36.231884057971016,0.06385678390228783,0.009405774363402243,0.009405774363402243,0.0875246194907218,0.07095713457881801,0.07095713457881801,0
3,9,4.467193126678467,4.603062951564789,0.0,0.0653,5.0,22.5,0.059,-0.02996166535396206,0.0,0.08,0.0653,0.0653,0
3,18,4.647664546966553,4.603062951564789,0.00964290450037559,0.07178198556464507,4.405286343612334,31.277533039647576,0.06495384069222133,0.00964290450037559,0.00964290450037559,0.08771432360030047,0.07178198556464507,0.07178198556464507,0
3,6,4.409416198730469,4.603062951564789,0.0,0.0653,5.128205128205129,29.05982905982906,0.059,-0.04297964139436735,0.0,0.08,0.0653,0.0653,0
3,19,4.353935241699219,4.603062951564789,0.0,0.0653,5.128205128205129,27.17948717948718,0.059,-0.05564185140815866,0.0,0.08,0.0653,0.0653,0
3,11,4.3891425132751465,4.603062951564789,0.0,0.0653,5.9760956175298805,33.46613545816733,0.059,-0.04758806010317248,0.0,0.08,0.0653,0.0653,0
3,13,4.579220294952393,4.603062951564789,0.0,0.0653,3.1531531531531534,40.090090090090094,0.059,-0.005193198577159252,0.0,0.08,0.0653,0.0653,0
4,7,4.359470844268799,4.592323235273361,0.0,0.06971,4.824561403508772,29.385964912280702,0.0653,-0.05203536337827116,0.0,0.08,0.06971,0.06971,0
4,12,4.566005706787109,4.592323235273361,0.0,0.0717321962834751,3.252032520325203,36.99186991869919,0.06818885183353587,-0.005747249533437152,0.0,0.08,0.0717321962834751,0.0717321962834751,0
4,1,4.420989036560059,4.592323235273361,0.0,0.06971,10.526315789473685,33.333333333333336,0.0653,-0.0380226124264821,0.0,0.08,0.06971,0.06971,0
