round,test_acc,train_loss,mu,time_cost
0,0.010594349680170576,4.606204832654457,0.0,0.0
1,0.010727611940298507,4.611861596582302,0.0,15.33705997467041
2,0.018523454157782514,4.586565689351198,0.0,18.395857095718384
3,0.034781449893390194,4.503796145389648,0.0,16.091118574142456
4,0.05023987206823028,4.3892071053774115,0.0,16.51863193511963
5,0.05537046908315565,4.29050158238087,0.0,16.195377826690674
6,0.059368336886993604,4.217626955015778,0.0,18.02018713951111
7,0.06583155650319829,4.158963066083229,0.0,15.198636293411255
8,0.07122867803837953,4.113010195534328,0.0,17.367351531982422
9,0.07842484008528784,4.06864819167637,0.0,16.331675052642822
10,0.08089019189765459,4.035862217981955,0.0,17.637681007385254
11,0.0843550106609808,4.006506166948882,0.0,16.5216166973114
12,0.08921908315565032,3.979638658405864,0.0,17.821245670318604
13,0.09221748400852879,3.9529716002965034,0.0,15.79010272026062
14,0.09514925373134328,3.928675188522186,0.0,17.655588388442993
15,0.10087953091684435,3.9042226797117903,0.0,16.231135845184326
16,0.10114605543710022,3.8819104637805433,0.0,16.536742448806763
17,0.10401119402985075,3.8580259317596495,0.0,16.37725567817688
18,0.10967484008528784,3.8329621414533834,0.0,17.84254813194275
19,0.11500533049040512,3.809471909360913,0.0,15.141147136688232
20,0.11633795309168443,3.7842394852059327,0.0,16.813178539276123
21,0.11940298507462686,3.758523641649188,0.0,16.59243154525757
22,0.12613272921108742,3.731929685469857,0.0,15.655244827270508
23,0.13166311300639658,3.7060438897514643,0.0,16.255064725875854
24,0.13599413646055436,3.679855015846689,0.0,17.13589882850647
25,0.1382595948827292,3.6552577054322657,0.0,15.358983516693115
26,0.1443230277185501,3.6289269229196766,0.0,16.81376576423645
27,0.14505597014925373,3.606998080531694,0.0,16.368511199951172
28,0.15211886993603413,3.5781638291928943,0.0,15.818090438842773
29,0.1533182302771855,3.557476040647247,0.0,15.939618587493896
30,0.15598347547974414,3.5355824201296633,0.0,17.247042894363403
31,0.1595815565031983,3.516560496612603,0.0,15.424156904220581
32,0.1591817697228145,3.4970060365453386,0.0,16.300261735916138
33,0.16537846481876334,3.4729822558319947,0.0,16.760335683822632
34,0.16631130063965885,3.4545789204453223,0.0,17.07699418067932
35,0.1709088486140725,3.43309711472551,0.0,16.599287271499634
36,0.17457356076759062,3.409748770075828,0.0,17.654308319091797
37,0.17750533049040512,3.3899939957799505,0.0,16.136048555374146
38,0.18003731343283583,3.371090684018865,0.0,17.189985275268555
39,0.1853678038379531,3.3484212616074718,0.0,17.17812728881836
40,0.18716684434968017,3.330096906132782,0.0,16.13504910469055
41,0.1908315565031983,3.3115228759230684,0.0,16.486021995544434
42,0.19189765458422176,3.296054332923932,0.0,17.85477900505066
43,0.1954957356076759,3.276925632299838,0.0,16.15860676765442
44,0.1998267590618337,3.258354042176017,0.0,17.236738681793213
45,0.20249200426439232,3.238900791857816,0.0,17.51555061340332
46,0.20535714285714285,3.2261402951659273,0.0,16.78725290298462
47,0.20775586353944564,3.2045427037124568,0.0,16.4068763256073
48,0.20748933901918976,3.1911297319832452,0.0,18.072510957717896
49,0.21175373134328357,3.169263845351524,0.0,16.360024452209473
50,0.21675106609808104,3.153911232603077,0.0,16.657591581344604
51,0.21815031982942432,3.142566164024797,0.0,17.508801460266113
52,0.22101545842217485,3.1259615850969102,0.0,16.869253635406494
53,0.2248134328358209,3.1045218673201704,0.0,16.865407466888428
54,0.22834488272921108,3.0916873371449736,0.0,17.397367000579834
55,0.22841151385927505,3.0736579219969378,0.0,16.45584726333618
56,0.22961087420042645,3.060805537966743,0.0,16.914111137390137
57,0.23327558635394458,3.0451040399926996,0.0,17.681788444519043
58,0.23640724946695096,3.031951633347358,0.0,16.67966914176941
59,0.2376732409381663,3.021108123288969,0.0,16.308162450790405
60,0.2412046908315565,3.003014292980414,0.0,17.35516381263733
61,0.24147121535181237,2.99184341518564,0.0,16.51841902732849
62,0.2427372068230277,2.9790066549416294,0.0,16.204142570495605
63,0.24560234541577824,2.966345799688933,0.0,17.51499891281128
64,0.24640191897654584,2.9449349028093827,0.0,16.175675868988037
65,0.2503331556503198,2.9397724181194564,0.0,16.942968606948853
66,0.24946695095948826,2.925946314102771,0.0,17.791483402252197
67,0.2509994669509595,2.913705612508936,0.0,17.042173624038696
68,0.25399786780383793,2.9088784530343923,0.0,16.78398847579956
69,0.25593017057569295,2.8873024342133915,0.0,17.351934671401978
70,0.2571295309168444,2.8832329083030754,0.0,16.100080013275146
71,0.2563299573560768,2.8712352452922913,0.0,16.344730854034424
72,0.2621934968017058,2.846154996283364,0.0,16.849844455718994
73,0.2642590618336887,2.836440122082388,0.0,16.848957777023315
74,0.2645255863539446,2.8292901810996383,0.0,16.64952516555786
75,0.2646588486140725,2.818776484719096,0.0,18.077011108398438
76,0.26725746268656714,2.8043524987396458,0.0,16.49179458618164
77,0.2674573560767591,2.7961516687827004,0.0,16.81099772453308
78,0.2709221748400853,2.7855914763709597,0.0,17.20704698562622
79,0.27098880597014924,2.776701847251897,0.0,16.609781742095947
80,0.2716551172707889,2.770938779416024,0.0,15.703105926513672
81,0.27432036247334757,2.7512150504164716,0.0,17.99988579750061
82,0.2748534115138593,2.740926335877155,0.0,16.348644495010376
83,0.27765191897654584,2.72886806666705,0.0,16.834484338760376
84,0.27745202558635396,2.722357954286366,0.0,16.655766248703003
85,0.28031716417910446,2.7066851249912793,0.0,17.348336696624756
86,0.28111673773987206,2.700935229848291,0.0,15.880472421646118
87,0.27998400852878463,2.6895093184639176,0.0,18.8391752243042
88,0.2828491471215352,2.680727110059895,0.0,16.278003931045532
89,0.2860474413646055,2.669198020539164,0.0,17.598317861557007
90,0.28718017057569295,2.6596275223578822,0.0,17.52944588661194
91,0.28718017057569295,2.6503898128551797,0.0,17.947898149490356
92,0.28911247334754797,2.641649042333147,0.0,15.640946865081787
93,0.2889125799573561,2.632493303437678,0.0,17.960467100143433
94,0.28857942430703626,2.6315200166968893,0.0,15.355244159698486
95,0.29111140724946694,2.6139623217631565,0.0,16.527676343917847
96,0.29364339019189767,2.6005218265634995,0.0,15.657356977462769
97,0.2921775053304904,2.593121012299755,0.0,17.101152658462524
98,0.29271055437100213,2.5826228461623537,0.0,15.142197847366333
99,0.2945095948827292,2.5705510718728473,0.0,18.017558574676514
100,0.2957089552238806,2.5638957611567514,0.0,15.357961893081665
101,0.2937100213219616,2.5581851508123994,0.0,17.057431936264038
102,0.2966417910447761,2.546506824990534,0.0,16.412941217422485
103,0.2972414712153518,2.5340607536213517,0.0,17.658978700637817
104,0.29717484008528783,2.53088165176661,0.0,15.951217889785767
105,0.2982409381663113,2.5200337711037015,0.0,18.42404079437256
106,0.3000399786780384,2.510187167982185,0.0,15.49424409866333
107,0.2998400852878465,2.4989407425947565,0.0,17.127779245376587
108,0.3009728144989339,2.487537635862495,0.0,16.354533910751343
