round,client_id,Li,Lg,g_pos,mu_final,acc_global,acc_personalized,mu_prev,g_raw,g_pos_clipped,mu_star,mu_smoothed,mu_bounded,warmup_active
1,9,1.8624902963638306,2.3134119510650635,0.0,0.05,57.421875,88.28125,0.05,-0.21680900758485347,0.0,0.08,0.059,0.059,1
2,8,2.3306632041931152,2.297692370414734,0.014247561942879634,0.06241941486629111,11.71875,84.375,0.05,0.014247561942879634,0.014247561942879634,0.09139804955430371,0.06241941486629111,0.06241941486629111,0
2,0,1.739294171333313,2.297692370414734,0.0,0.059,83.33333333333333,50.0,0.05,-0.27842591839747666,0.0,0.08,0.059,0.059,0
2,9,1.2720520496368408,2.297692370414734,0.0,0.059,69.53125,92.578125,0.05,-0.5912739149488022,0.0,0.08,0.059,0.059,0
2,15,2.1608901023864746,2.297692370414734,0.0,0.059,14.285714285714286,64.28571428571429,0.05,-0.061385080538178066,0.0,0.08,0.059,0.059,0
2,5,1.1761128902435303,2.297692370414734,0.0,0.059,81.25,100.0,0.05,-0.6696904579398558,0.0,0.08,0.059,0.059,0
2,4,1.1484620571136475,2.297692370414734,0.0,0.059,77.98165137614679,89.90825688073394,0.05,-0.6934815920139373,0.0,0.08,0.059,0.059,0
2,19,1.6360338926315308,2.297692370414734,0.0,0.059,41.796875,96.875,0.05,-0.33963034557093535,0.0,0.08,0.059,0.059,0
2,18,1.492427945137024,2.297692370414734,0.0,0.059,73.828125,97.65625,0.05,-0.4315010125621339,0.0,0.08,0.059,0.059,0
2,7,1.627748966217041,2.297692370414734,0.0,0.059,44.53125,81.25,0.05,-0.34470724223794247,0.0,0.08,0.059,0.059,0
2,13,1.9234222173690796,2.297692370414734,0.0,0.059,19.565217391304348,67.3913043478261,0.05,-0.17779929689674798,0.0,0.08,0.059,0.059,0
2,14,1.036806583404541,2.297692370414734,0.0,0.059,75.75757575757575,94.94949494949495,0.05,-0.7957599004416512,0.0,0.08,0.059,0.059,0
2,11,2.5123941898345947,2.297692370414734,0.0893308565633107,0.08043940557519456,8.203125,96.09375,0.05,0.0893308565633107,0.0893308565633107,0.15146468525064857,0.08043940557519456,0.08043940557519456,0
2,17,2.2237582206726074,2.297692370414734,0.0,0.059,0.390625,98.828125,0.05,-0.03270664516756691,0.0,0.08,0.059,0.059,0
2,10,2.3599328994750977,2.297692370414734,0.026727884028228607,0.06541469216677487,17.96875,96.484375,0.05,0.026727884028228607,0.026727884028228607,0.10138230722258289,0.06541469216677487,0.06541469216677487,0
2,1,2.455023765563965,2.297692370414734,0.06623113933034538,0.07489547343928289,8.333333333333334,70.83333333333333,0.05,0.06623113933034538,0.06623113933034538,0.13298491146427632,0.07489547343928289,0.07489547343928289,0
2,3,1.3465971946716309,2.297692370414734,0.0,0.059,73.84615384615384,97.94871794871794,0.05,-0.5343244851314471,0.0,0.08,0.059,0.059,0
2,16,2.324815511703491,2.297692370414734,0.011735383970740476,0.061816492152977714,16.363636363636363,87.27272727272727,0.05,0.011735383970740476,0.011735383970740476,0.08938830717659238,0.061816492152977714,0.061816492152977714,0
2,2,2.1625449657440186,2.297692370414734,0.0,0.059,32.30769230769231,84.61538461538461,0.05,-0.060619548777146155,0.0,0.08,0.059,0.059,0
2,6,1.7295622825622559,2.297692370414734,0.0,0.059,14.0625,98.828125,0.05,-0.28403693999906676,0.0,0.08,0.059,0.059,0
2,12,2.648736000061035,2.297692370414734,0.14217724245611474,0.09312253818946753,13.671875,94.140625,0.05,0.14217724245611474,0.14217724245611474,0.1937417939648918,0.09312253818946753,0.09312253818946753,0
3,1,2.094299077987671,2.25105895280838,0.0,0.07642683140749802,12.5,75.0,0.07489547343928289,-0.07218182244370154,0.0,0.08,0.07642683140749802,0.07642683140749802,0
3,7,1.5846171379089355,2.25105895280838,0.0,0.0653,51.171875,83.984375,0.059,-0.35105792454090434,0.0,0.08,0.0653,0.0653,0
3,15,2.2063841819763184,2.25105895280838,0.0,0.0653,42.857142857142854,64.28571428571429,0.059,-0.020045692223886632,0.0,0.08,0.0653,0.0653,0
