round,median_client_loss,lg_ema,test_acc_global,train_loss_global,test_acc_personalized,train_loss_personalized,avg_mu,time_cost
0,2.3134119510650635,2.3134119510650635,0.058376649340263896,2.312699516682515,0.058376649340263896,2.312699516682515,0.05000000000000001,0.0
1,2.1562161445617676,2.297692370414734,0.9017535842805735,0.3180091076862281,0.9017535842805735,0.3180091076862281,0.05000000000000001,39.42747259140015
2,1.8313581943511963,2.25105895280838,0.9301422288227567,0.24005539546013618,0.9301422288227567,0.24005539546013618,0.06320540081949944,38.255080699920654
3,1.5107714533805847,2.1770302028656006,0.9392243102758896,0.21825790033455206,0.9392243102758896,0.21825790033455206,0.06908807834203978,40.294398069381714
4,1.3121384978294373,2.090541032361984,0.945850231336037,0.20413689455417272,0.945850231336037,0.20413689455417272,0.07297369424413132,38.99369978904724
5,1.146666169166565,1.9961535460424424,0.9477923116467699,0.19873171105363902,0.9477923116467699,0.19873171105363902,0.07508158597089191,38.93830180168152
6,0.9762000739574432,1.8941581988339424,0.9518478322956532,0.1896384208470418,0.9518478322956532,0.1896384208470418,0.07655711017962435,40.16378474235535
7,0.9825639128684998,1.8029987702373982,0.9515622322499572,0.19305615223897274,0.9515622322499572,0.19305615223897274,0.07892514625097617,37.99288511276245
8,0.8580938577651978,1.7085082789901782,0.9557319929171189,0.18494928978629477,0.9557319929171189,0.18494928978629477,0.08059301784669697,39.535658836364746
9,0.7319795489311218,1.6108554059842726,0.9557319929171189,0.19195963767657662,0.9557319929171189,0.19195963767657662,0.08267650703806362,39.051432371139526
10,0.7398700416088104,1.5237568695467263,0.9575027132004341,0.1876887055616801,0.9575027132004341,0.1876887055616801,0.08560586558496869,38.91065788269043
11,0.6930236518383026,1.440683547775884,0.958302393328383,0.19334588108729642,0.958302393328383,0.19334588108729642,0.08911650444536136,39.77569103240967
12,0.6534542143344879,1.3619606144317444,0.9600731136116982,0.19608097271259858,0.9600731136116982,0.19608097271259858,0.09074408004459915,39.5887451171875
13,0.6497197449207306,1.2907365274806433,0.9591020734563318,0.19809493110894566,0.9591020734563318,0.19809493110894566,0.09355046277811516,39.64708662033081
14,0.63381627202034,1.225044501934613,0.958873593419775,0.20894531889587067,0.958873593419775,0.20894531889587067,0.10019239427819349,40.336567640304565
15,0.6606760025024414,1.1686076519913957,0.9623007939681271,0.21437496203624254,0.9623007939681271,0.21437496203624254,0.10490409880940188,37.89220905303955
16,0.6128906309604645,1.1130359498883027,0.9625863940138231,0.21902323634774373,0.9625863940138231,0.21902323634774373,0.10669213978227339,39.11707377433777
17,0.552820473909378,1.0570144022904104,0.9646427143428343,0.22600254921558544,0.9646427143428343,0.22600254921558544,0.1107446531760277,39.172937631607056
18,0.5632306933403015,1.0076360313953996,0.9638430342148855,0.23506462843113105,0.9638430342148855,0.23506462843113105,0.1136727799095943,38.47661781311035
19,0.5313892662525177,0.9600113548811114,0.9635574341691895,0.24443036249588745,0.9635574341691895,0.24443036249588745,0.12160414193652677,39.96102809906006
20,0.5616948008537292,0.9201796994783732,0.9654423944707831,0.25345901281005484,0.9654423944707831,0.25345901281005484,0.12739696383150104,39.07459330558777
21,0.586484283208847,0.8868101578514206,0.9644142343062775,0.2705049233493676,0.9644142343062775,0.2705049233493676,0.13029458012932849,39.95061779022217
22,0.6597387194633484,0.8641030140126134,0.9674415947906552,0.27562799708741104,0.9674415947906552,0.27562799708741104,0.13515879463591535,39.75280523300171
23,0.5444075167179108,0.8321334642831432,0.9660707145713143,0.2871137465986671,0.9660707145713143,0.2871137465986671,0.1413361154719345,39.87921404838562
24,0.5794358253479004,0.8068637003896189,0.9680127948820472,0.29808689677898403,0.9680127948820472,0.29808689677898403,0.149036586977288,39.728636503219604
25,0.5237847566604614,0.7785558060167032,0.9682983949277432,0.30847945558168444,0.9682983949277432,0.30847945558168444,0.15563255092164058,38.75005078315735
26,0.5183907747268677,0.7525393028877196,0.9678414348546296,0.3203953395213273,0.9678414348546296,0.3203953395213273,0.1636029356736621,38.730000495910645
27,0.5151565670967102,0.7288010293086187,0.9665847946535672,0.3332231949870538,0.9665847946535672,0.3332231949870538,0.166293139369092,40.66849899291992
28,0.5603519678115845,0.7119561231589152,0.9686982349917176,0.34152862908412107,0.9686982349917176,0.34152862908412107,0.16850994975780803,39.50855326652527
29,0.5221139788627625,0.6929719087292999,0.9682983949277432,0.3461582888684708,0.9682983949277432,0.3461582888684708,0.1792313744532062,39.79073619842529
30,0.5628802180290222,0.6799627396592722,0.9678985548637687,0.35965931676989227,0.9678985548637687,0.35965931676989227,0.18588917106455752,38.96544671058655
31,0.5086751729249954,0.6628339829858445,0.9688695950191352,0.3631390947077343,0.9688695950191352,0.3631390947077343,0.18986380943361963,38.508354902267456
32,0.4942997395992279,0.6459805586471828,0.9678985548637687,0.3699878711076416,0.9678985548637687,0.3699878711076416,0.1917712445884711,39.76204299926758
33,0.4522321969270706,0.6266057224751717,0.9686411149825784,0.37271680451319705,0.9686411149825784,0.37271680451319705,0.1898981888563694,40.486817359924316
34,0.46580588817596436,0.6105257390452509,0.9663563146170103,0.3818304038936572,0.9663563146170103,0.3818304038936572,0.19018079712289965,39.59266018867493
35,0.44615523517131805,0.5940886886578576,0.9691551950648312,0.3807141828888974,0.9691551950648312,0.3807141828888974,0.19622526642387175,41.28047251701355
36,0.5792886912822723,0.592608688920299,0.9694407951105272,0.3865812828103633,0.9694407951105272,0.3865812828103633,0.2037916702357387,40.10581183433533
37,0.4908735901117325,0.5824351790394424,0.9684126349460216,0.4040662968654574,0.9684126349460216,0.4040662968654574,0.20650533518475145,40.50624203681946
38,0.46950267255306244,0.5711419283908045,0.9669846347175416,0.4139739380574731,0.9669846347175416,0.4139739380574731,0.20887407498457228,39.606619358062744
39,0.5011894553899765,0.5641466810907216,0.9701262352201976,0.4163897424350597,0.9701262352201976,0.4163897424350597,0.20999307026313135,38.32659149169922
40,0.48583242297172546,0.556315255278822,0.9676129548180727,0.42429775963602256,0.9676129548180727,0.42429775963602256,0.2154716498783138,39.748984575271606
41,0.4447212815284729,0.5451558579037871,0.9669846347175416,0.43842489945623536,0.9669846347175416,0.43842489945623536,0.21867485827252162,40.40451097488403
