round,median_client_loss,lg_ema,test_acc,train_loss,avg_mu,time_cost
0,2.3085083961486816,2.3085083961486816,0.058376649340263896,2.312712639257485,0.05000000000000001,0.0
1,2.1450458765029907,2.2921621441841125,0.22379619580739132,2.17220597154788,0.05000000000000001,112.62801718711853
2,1.8155516982078552,2.2445010995864867,0.31416005026560806,1.9423696487556317,0.06299034349702759,131.76263618469238
3,1.4322590231895447,2.1632768919467926,0.3947563831610213,1.6104500536255835,0.06871549950321683,135.25281286239624
4,1.2943569421768188,2.0763848969697953,0.46301479408236706,1.3876507553554314,0.07210084965225176,136.1400625705719
5,1.1287111341953278,1.9816175206923488,0.5155652024904324,1.2149124269115519,0.07483130918737874,137.456552028656
6,1.0144155025482178,1.8848973188779357,0.555149368823899,1.1252008148406303,0.07653844051062617,135.73335146903992
7,1.0019627809524536,1.7966038650853875,0.5890215342434455,1.035633161250325,0.07784372477073051,135.0322916507721
8,0.8283508718013763,1.6997785657569864,0.6159250585480094,0.9690302020172323,0.07946770040265468,133.06439065933228
9,0.7761664092540741,1.607417350106695,0.6384303421488547,0.9212117335952618,0.08114222613243423,140.02455258369446
10,0.7050148248672485,1.5171770975827505,0.6511681041868966,0.8884375423258372,0.08364083083335819,133.94749760627747
11,0.7405718266963959,1.4395165704941153,0.6548237847718056,0.8678302142276516,0.0866509368590688,136.40815806388855
12,0.702392965555191,1.3658042100002228,0.6591077854572457,0.8548662657359929,0.0884789443144128,136.31025671958923
13,0.7225728034973145,1.301481069349932,0.6536813845890216,0.8634123968504592,0.09379289339645372,135.46741247177124
14,0.6038665175437927,1.2317196141693179,0.6687039469926315,0.8159260400012064,0.09531316080850194,141.27512192726135
15,0.7094050943851471,1.1794881621909008,0.6741303478608557,0.8078680696387744,0.09873709640955619,135.64714741706848
16,0.677851527929306,1.1293244987647413,0.6729879476780716,0.803383366856422,0.10198260161501968,139.8391034603119
17,0.7069347500801086,1.087085523896278,0.6737876278060204,0.7966638937428312,0.10717679899730284,135.97949695587158
18,0.6216647922992706,1.0405434507365774,0.6791569086651054,0.7821408590919199,0.10858950968532258,132.36360216140747
19,0.5684210062026978,0.9933312062831894,0.6775004284000685,0.7834339849373648,0.11371220061182355,133.21031212806702
20,0.5814276933670044,0.9521408549915709,0.6829268292682927,0.7738392958600565,0.12071121430163037,133.8172960281372
21,0.5404829680919647,0.9109750663016102,0.6888673102187697,0.7543172315456097,0.12384989824224872,133.4726459980011
22,0.574184000492096,0.8772959597206588,0.6917804306848689,0.748514215057466,0.1290485106847606,128.70696425437927
23,0.5665750801563263,0.8462238717642255,0.6928657108585138,0.7442388601124534,0.13576403095896986,132.4462423324585
24,0.49670422077178955,0.811271906664982,0.6906951505112241,0.7385285009388887,0.14261442840208333,131.85401272773743
25,0.5340288281440735,0.783547598812891,0.6915519506483121,0.7394689849946215,0.1535778451061272,134.41895079612732
26,0.6551302373409271,0.7707058626656947,0.7047466727594677,0.7173531016048262,0.15934328321788838,127.4927875995636
27,0.49346183240413666,0.7429814596395389,0.7052607528417204,0.7106931602126181,0.1667296910360205,130.45613169670105
28,0.5831089019775391,0.7269942038733389,0.7073170731707317,0.7092819208424699,0.17696379725488848,133.06929397583008
29,0.49376600980758667,0.7036713844667637,0.6985777117724339,0.7134366371653593,0.18103835441990726,126.8228497505188
30,0.5202025473117828,0.6853245007512656,0.7048609127777461,0.7063954904163443,0.18099919929307412,132.2789750099182
31,0.5679170787334442,0.6735837585494835,0.7093733934997429,0.69496228221776,0.18136929863657816,131.26352190971375
32,0.49606455862522125,0.6558318385570573,0.7141714742674359,0.6907247915050394,0.1846665569864216,131.67257070541382
33,0.506657138466835,0.6409143685480351,0.7214257154281145,0.6762982001147867,0.19458860318796917,128.94839024543762
34,0.5112735331058502,0.6279502850038167,0.7227394756383161,0.669517609457594,0.20125656193326164,133.4034481048584
35,0.5199036747217178,0.6171456239756068,0.7180556348889016,0.6788666149598075,0.2016905504571817,133.36071395874023
36,0.4671226441860199,0.6021433259966481,0.7246815559490489,0.6673018572751127,0.19982807039580522,130.11875438690186
37,0.4798120707273483,0.5899102004697181,0.7158279545324727,0.6886055706035955,0.19995129807004838,127.6807816028595
38,0.4506012052297592,0.5759793009457223,0.7282801165248186,0.6575115091622901,0.2045658583658057,131.39128065109253
39,0.43988221883773804,0.5623695927349238,0.7227965956474554,0.6641342437549574,0.20775014117775284,132.04800176620483
